strategy,symbol,timeframe,mode,rr_cap,trade_count,resolved_count,wins,losses,win_rate,tp1_count,tp2_count,sl_count,net_r,profit_factor,expectancy,average_r,average_winning_r,average_losing_r,max_drawdown_r,max_consecutive_wins,max_consecutive_losses,outlier_dependency
ICT,NZDUSD,M1,Cap_4.0,,114,114,39,75,0.34210526315789475,39,0,75,11.897716121870687,1.1586362149582758,0.10436593089360252,0.10436593089360252,2.2281465672274536,-1.0,27.324114227264257,11,24,Low R-Multiple Sensitivity
ICT,NZDUSD,M1,Cap_3.0,,114,114,39,75,0.34210526315789475,39,0,75,10.471022253391144,1.139613630045215,0.09185107239816794,0.09185107239816794,2.1915646731638754,-1.0,27.324114227264257,11,24,Low R-Multiple Sensitivity
ICT,NZDUSD,M1,Cap_2.5,,114,114,39,75,0.34210526315789475,39,0,75,5.88040883011214,1.078405451068162,0.05158253359747491,0.05158253359747491,2.073856636669542,-1.0,27.781845728678856,11,24,Low R-Multiple Sensitivity
ICT,NZDUSD,M1,Cap_2.0,,114,114,39,75,0.34210526315789475,39,0,75,-2.556432228197343,0.9659142369573689,-0.022424844106994236,-0.022424844106994236,1.8575273787641708,-1.0,28.78301314622106,11,24,Low R-Multiple Sensitivity
ICT,NZDUSD,M5,Baseline,,64,64,15,49,0.234375,15,0,49,-17.803776681397828,0.6366576187469833,-0.27818401064684106,-0.27818401064684106,2.0797482212401452,-1.0,23.66152017841282,5,10,N/A (baseline non-positive)
ICT,NZDUSD,M5,Cap_5.0,,64,64,15,49,0.234375,15,0,49,-17.803776681397828,0.6366576187469833,-0.27818401064684106,-0.27818401064684106,2.0797482212401452,-1.0,23.66152017841282,5,10,N/A (baseline non-positive)
ICT,NZDUSD,M5,Cap_4.0,,64,64,15,49,0.234375,15,0,49,-17.803776681397828,0.6366576187469833,-0.27818401064684106,-0.27818401064684106,2.0797482212401452,-1.0,23.66152017841282,5,10,N/A (baseline non-positive)
ICT,NZDUSD,M5,Cap_3.0,,64,64,15,49,0.234375,15,0,49,-17.810126067258203,0.6365280394437103,-0.2782832198009094,-0.2782832198009094,2.079324928849453,-1.0,23.667869564273197,5,10,N/A (baseline non-positive)
ICT,NZDUSD,M5,Cap_2.5,,64,64,15,49,0.234375,15,0,49,-18.38126216933982,0.6248722006257181,-0.2872072213959347,-0.2872072213959347,2.041249188710679,-1.0,24.239005666354814,5,10,N/A (baseline non-positive)
ICT,NZDUSD,M5,Cap_2.0,,64,64,15,49,0.234375,15,0,49,-21.304470457586483,0.5652148886206841,-0.3328823508997888,-0.3328823508997888,1.8463686361609013,-1.0,26.714729906711213,5,10,N/A (baseline non-positive)
ICT,NZDUSD,M15,Baseline,,14,14,6,8,0.42857142857142855,6,0,8,7.97994265349544,1.99749283168693,0.5699959038211029,0.5699959038211029,2.6633237755825734,-1.0,8.0,5,8,Low R-Multiple Sensitivity
ICT,NZDUSD,M15,Cap_5.0,,14,14,6,8,0.42857142857142855,6,0,8,7.97994265349544,1.99749283168693,0.5699959038211029,0.5699959038211029,2.6633237755825734,-1.0,8.0,5,8,Low R-Multiple Sensitivity
ICT,NZDUSD,M15,Cap_4.0,,14,14,6,8,0.42857142857142855,6,0,8,7.97994265349544,1.99749283168693,0.5699959038211029,0.5699959038211029,2.6633237755825734,-1.0,8.0,5,8,Low R-Multiple Sensitivity
ICT,NZDUSD,M15,Cap_3.0,,14,14,6,8,0.42857142857142855,6,0,8,6.920908145610923,1.8651135182013654,0.49435058182935165,0.49435058182935165,2.486818024268487,-1.0,8.0,5,8,Low R-Multiple Sensitivity
ICT,NZDUSD,M15,Cap_2.5,,14,14,6,8,0.42857142857142855,6,0,8,5.664209686994587,1.7080262108743234,0.4045864062138991,0.4045864062138991,2.2773682811657645,-1.0,8.0,5,8,Low R-Multiple Sensitivity
ICT,NZDUSD,M15,Cap_2.0,,14,14,6,8,0.42857142857142855,6,0,8,3.77705889933716,1.472132362417145,0.2697899213812257,0.2697899213812257,1.962843149889527,-1.0,8.0,5,8,Low R-Multiple Sensitivity
ICT,NZDUSD,M30,Baseline,,51,51,3,48,0.058823529411764705,3,0,48,-41.840590844097456,0.12832102408130305,-0.8204037420411265,-0.8204037420411265,2.053136385300849,-1.0,41.840590844097456,2,29,N/A (baseline non-positive)
ICT,NZDUSD,M30,Cap_5.0,,51,51,3,48,0.058823529411764705,3,0,48,-41.840590844097456,0.12832102408130305,-0.8204037420411265,-0.8204037420411265,2.053136385300849,-1.0,41.840590844097456,2,29,N/A (baseline non-positive)
