strategy,symbol,timeframe,trade_count,wins,losses,unresolved,win_rate,net_r,profit_factor,mean_winning_r,median_winning_r,p90_winning_r,p95_winning_r,p99_winning_r,max_winning_r,gross_share_gt5r,gross_share_gt10r,gross_share_gt20r,gross_share_gt50r
ICT,NZDUSD,M5,64,15,49,0,0.234375,-17.803776681397817,0.6366576187469833,2.0797482212401452,2.022801019001112,2.5711361020816144,2.5711361020816144,3.0063493858603785,3.0063493858603785,0.0,0.0,0.0,0.0
ICT,XAUUSD,H1,7,3,4,0,0.42857142857142855,1.6534756688630585,1.4133689172157646,1.8844918896210194,1.8172725737850375,2.0502940751733525,2.0502940751733525,2.0502940751733525,2.0502940751733525,0.0,0.0,0.0,0.0
ICT,XAUUSD,H4,4,0,4,0,0.0,-4.0,0.0,,,,,,,0.0,0.0,0.0,0.0
ICT,XAUUSD,M1,92,32,60,0,0.34782608695652173,5.653654763907525,1.0942275793984588,2.05167671137211,1.8372217830979662,2.949724806692401,2.996398903046149,3.0,3.0,0.0,0.0,0.0,0.0
ICT,XAUUSD,M15,60,20,40,0,0.3333333333333333,-5.121908797100588,0.8719522800724853,1.7439045601449705,1.594725947021436,2.3667496187545827,2.648194425542691,2.690776224299934,2.690776224299934,0.0,0.0,0.0,0.0
ICT,XAUUSD,M30,10,6,4,0,0.6,9.642165718466215,3.4105414296165537,2.273694286411036,2.069253083830387,2.638646325788356,3.4441210759539143,3.4441210759539143,3.4441210759539143,0.0,0.0,0.0,0.0
ICT,XAUUSD,M5,58,10,48,0,0.1724137931034483,-26.31437624650791,0.4517838281977519,2.1685623753492096,2.2017562011921665,2.5091701960889794,2.588474092366109,2.588474092366109,2.588474092366109,0.0,0.0,0.0,0.0
SMC,EURUSD,H1,14,9,5,0,0.6428571428571429,20.4932513056835,5.0986502611367,2.8325834784092776,3.0,3.2625941938988023,5.352792783958264,5.352792783958264,5.352792783958264,0.2099690117895988,0.0,0.0,0.0
SMC,EURUSD,H4,9,0,9,0,0.0,-9.0,0.0,,,,,,,0.0,0.0,0.0,0.0
SMC,EURUSD,M1,541,150,391,0,0.27726432532347506,99.19960151216213,1.2537074207472176,3.267997343414413,2.3950899803423,6.064468770514462,7.163769120954686,15.207102510517297,16.488954275909116,0.35314340798468496,0.14277202354185728,0.0,0.0
SMC,EURUSD,M15,386,68,318,0,0.17616580310880828,-163.79876776332105,0.4849095353354684,2.2676651799511602,1.5000000000001352,2.9550143171746943,3.4437276511959127,9.582532817002184,22.013047512683546,0.2540125461122575,0.14275532817335962,0.14275532817335962,0.0
SMC,EURUSD,M30,123,19,104,0,0.15447154471544716,-22.033042375562488,0.7881438233118991,4.314050401286185,2.494480160154017,7.224544390748817,10.057410091653539,20.516719211584434,20.516719211584434,0.5929607487585612,0.3730055401510065,0.25030475457671014,0.0
SMC,EURUSD,M5,635,119,516,0,0.18740157480314962,-123.12734003886624,0.7613811239556856,3.3014509240431407,2.393888375058135,5.801451717988722,8.034070886786605,11.420586448098213,11.487828796420088,0.35871387332989346,0.08407643122918415,0.0,0.0
SMC,GBPUSD,H1,37,16,21,0,0.43243243243243246,19.999166935840236,1.952341282659059,2.5624479334900157,1.8496395446058598,5.643803145933008,5.643803145933008,6.283272810771327,6.283272810771327,0.29091020252604316,0.0,0.0,0.0
SMC,GBPUSD,H4,9,1,8,0,0.1111111111111111,-5.840994708857627,0.2698756613927966,2.159005291142373,2.159005291142373,2.159005291142373,2.159005291142373,2.159005291142373,2.159005291142373,0.0,0.0,0.0,0.0
SMC,GBPUSD,M1,658,210,448,0,0.3191489361702128,267.0841855425574,1.596170057014637,3.40516278829789,2.346589422522139,6.463523102744915,9.145302470094169,15.462351111718606,18.11008971539189,0.4093036707597766,0.12299866472099753,0.0,0.0
SMC,GBPUSD,M15,122,22,100,0,0.18032786885245902,-16.664860250831936,0.8333513974916806,3.787960897689456,2.319403133009334,4.849450895322001,14.28462745703373,16.406204269641897,16.406204269641897,0.3682819974749249,0.3682819974749249,0.0,0.0
SMC,GBPUSD,M30,142,8,134,0,0.056338028169014086,-105.97571304007015,0.20913646985022277,3.503035869991232,2.15344862268723,5.078327631069556,10.818865756597518,10.818865756597518,10.818865756597518,0.5672648660213,0.386053203496907,0.0,0.0
SMC,GBPUSD,M5,476,130,346,0,0.27310924369747897,150.20303220002643,1.434112809826666,3.816946401538663,2.66498296155733,6.6033339548951275,10.244339299417494,17.917011679075365,20.504382117212327,0.45547694604054717,0.21701846587945023,0.04132256513286828,0.0
SMC,NZDUSD,H1,31,9,22,0,0.2903225806451613,21.080437223356554,1.9582016919707526,4.786715247039616,4.149269568470255,7.1804748691512525,9.4730536045607,9.4730536045607,9.4730536045607,0.6517143138812878,0.0,0.0,0.0
SMC,NZDUSD,H4,15,5,10,0,0.3333333333333333,19.266421187581393,2.9266421187581395,5.853284237516279,2.477142694910456,13.166913791033208,13.166913791033208,13.166913791033208,13.166913791033208,0.7910566599375651,0.44989832226634935,0.0,0.0
SMC,NZDUSD,M1,555,160,395,0,0.2882882882882883,42.212011275129385,1.1068658513294414,2.7325750704695584,2.0414320798348493,4.566424357978407,6.155043951473407,9.732650672482126,13.840593844461694,0.2540872628084717,0.057085710130671596,0.0,0.0
SMC,NZDUSD,M15,162,40,122,0,0.24691358024691357,-7.5636363683034915,0.9380029805876763,2.8609090907924126,2.0549349961995413,4.496525688715973,6.1246598726970785,9.729213277987622,9.729213277987622,0.25347221863661323,0.0,0.0,0.0
SMC,NZDUSD,M30,199,27,172,0,0.135678391959799,-81.09782472393675,0.5285010190468793,3.3667472324467864,1.5719446713391096,4.702984507340048,12.690151622863187,20.974504762129584,20.974504762129584,0.4766977404555311,0.37033939267961047,0.23073710500801053,0.0
SMC,NZDUSD,M5,439,120,319,0,0.2733485193621868,7.403915420425449,1.0232097662082302,2.7200326285035463,2.0935886295999775,4.20443995325203,4.942012997334945,16.544615283752506,17.13259076528864,0.13754905787090113,0.10317647692939937,0.0,0.0
SMC,XAUUSD,H1,25,9,16,0,0.36,32.50628372367626,3.0316427327297664,5.389587080408473,2.6895632412176154,5.073252358548741,25.342062818948133,25.342062818948133,25.342062818948133,0.6270386606148296,0.5224490699661349,0.5224490699661349,0.0
SMC,XAUUSD,H4,24,6,18,0,0.25,-5.88677320627232,0.6729570440959822,2.0188711322879467,1.7110523117763496,1.8253269086111963,3.8138858215824234,3.8138858215824234,3.8138858215824234,0.0,0.0,0.0,0.0
SMC,XAUUSD,M1,763,227,536,0,0.29750982961992134,302.5903264256898,1.5645341910927049,3.694230512888504,2.9470701564123623,7.9402555668033274,8.757277806716495,10.079660960407917,10.753162757636467,0.4964924319496597,0.0374385785306596,0.0,0.0
SMC,XAUUSD,M15,299,154,145,0,0.5150501672240803,445.62403704461656,4.073269220997355,3.835221019770236,1.7496061747673393,10.11836125406741,10.167623509672042,10.193823857208018,18.187663941240654,0.6449822435775696,0.4422394720474905,0.0,0.0
SMC,XAUUSD,M30,67,16,51,0,0.23880597014925373,-10.664726369711104,0.7908877182409587,2.5209546018930564,2.1293031246725382,4.858360743337744,4.858360743337744,4.977640101357773,4.977640101357773,0.0,0.0,0.0,0.0
SMC,XAUUSD,M5,521,94,427,0,0.18042226487523993,-134.9059553514292,0.6840609944931401,3.1073834537082,2.1517636672470024,4.320959944695835,7.222023745439366,17.80197680147544,22.547844827151337,0.31807366592571085,0.2743459931104548,0.0771937848109142,0.0
SweepDisplacement,EURUSD,H1,22,8,14,0,0.36363636363636365,7.946669377606433,1.5676192412576024,2.743333672200804,2.2335346880719373,3.2711480862650575,5.692177679814455,5.692177679814455,5.692177679814455,0.25936407852494203,0.0,0.0,0.0
SweepDisplacement,EURUSD,H4,0,0,0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0
SweepDisplacement,EURUSD,M1,513,89,424,0,0.17348927875243664,-111.28580998378078,0.7375334670193849,3.513642584451902,2.3163569596728895,6.545158881475458,10.310172958482035,12.167474111559914,34.028195347691465,0.4432632912132099,0.24722725108836074,0.1088156419954162,0.0
SweepDisplacement,EURUSD,M15,88,11,77,0,0.125,37.710182393892396,1.4897426284921091,10.428198399444764,2.3038314326069838,4.950414611729113,87.08031203795989,87.08031203795989,87.08031203795989,0.7591332366549909,0.7591332366549909,0.7591332366549909,0.7591332366549909
SweepDisplacement,EURUSD,M30,58,12,46,0,0.20689655172413793,-13.951810133776966,0.6966997797005007,2.67068248885192,2.211503431537796,4.115271865060748,4.115271865060748,6.628313976871591,6.628313976871591,0.20682334960382448,0.0,0.0,0.0
SweepDisplacement,EURUSD,M5,304,66,238,0,0.21710526315789475,-40.44298866326025,0.8300714762047888,2.993288050556663,2.48515883715187,3.746811286595942,6.0584296247585705,11.066980757049695,15.75561285220959,0.23640253554757193,0.13577140810021496,0.0,0.0
SweepDisplacement,GBPUSD,H1,27,2,25,0,0.07407407407407407,-20.59996829445007,0.17600126822199727,2.200015852774966,2.200015852774966,2.212382126554787,2.212382126554787,2.212382126554787,2.212382126554787,0.0,0.0,0.0,0.0
SweepDisplacement,GBPUSD,H4,7,2,5,0,0.2857142857142857,-1.4016687118282674,0.7196662576343466,1.7991656440858663,1.7991656440858663,1.8090865606764364,1.8090865606764364,1.8090865606764364,1.8090865606764364,0.0,0.0,0.0,0.0
